trial_number,response,RT,question,timeSpent,submission_id
2,1,5081,Extrovertiertheit,7.145466666666667,791
3,8,5417,Höflichlichkeit,7.145466666666667,791
4,1,2798,Selbstsicherheit,7.145466666666667,791
5,1,2330,Geduld,7.145466666666667,791
6,1,3315,Dominanz,7.145466666666667,791
7,9,5398,Freundlichkeit,7.145466666666667,791
8,1,1757,Vertrauenswürdigkeit,7.145466666666667,791
9,1,1625,Sensibilität,7.145466666666667,791
10,1,1867,Agressivität,7.145466666666667,791
1,7,14930,Gewissenhaftigkeit,18.35945,797
2,4,6660,Freundlichkeit,18.35945,797
3,5,6257,Selbstsicherheit,18.35945,797
4,1,3627,Dominanz,18.35945,797
5,9,2789,Höflichlichkeit,18.35945,797
6,7,3278,Extrovertiertheit,18.35945,797
7,1,2313,Sensibilität,18.35945,797
8,9,2048,Vertrauenswürdigkeit,18.35945,797
9,4,3437,Geduld,18.35945,797
10,1,1715,Agressivität,18.35945,797
1,2,13406,Geduld,10.10775,803
2,7,4894,Selbstsicherheit,10.10775,803
3,5,6220,Extrovertiertheit,10.10775,803
4,1,5365,Dominanz,10.10775,803
5,1,3422,Sensibilität,10.10775,803
6,1,257,Gewissenhaftigkeit,10.10775,803
7,5,12054,Agressivität,10.10775,803
8,1,2544,Vertrauenswürdigkeit,10.10775,803
9,8,6292,Höflichlichkeit,10.10775,803
10,5,2276,Freundlichkeit,10.10775,803
1,6,31906,Höflichlichkeit,25.253833333333333,806
2,3,45104,Vertrauenswürdigkeit,25.253833333333333,806
3,7,110608,Extrovertiertheit,25.253833333333333,806
4,9,5996,Geduld,25.253833333333333,806
5,3,8804,Gewissenhaftigkeit,25.253833333333333,806
6,3,8124,Selbstsicherheit,25.253833333333333,806
7,8,65435,Agressivität,25.253833333333333,806
8,8,4341,Freundlichkeit,25.253833333333333,806
9,4,11817,Dominanz,25.253833333333333,806
10,6,8531,Sensibilität,25.253833333333333,806
1,2,11696,Agressivität,12.203633333333334,808
2,9,16857,Extrovertiertheit,12.203633333333334,808
3,1,4903,Sensibilität,12.203633333333334,808
4,5,16103,Geduld,12.203633333333334,808
5,5,3502,Dominanz,12.203633333333334,808
6,9,2755,Gewissenhaftigkeit,12.203633333333334,808
7,5,4006,Selbstsicherheit,12.203633333333334,808
8,5,2393,Freundlichkeit,12.203633333333334,808
9,9,5168,Höflichlichkeit,12.203633333333334,808
10,9,2622,Vertrauenswürdigkeit,12.203633333333334,808
1,5,10652,Freundlichkeit,13.68385,814
2,6,6800,Höflichlichkeit,13.68385,814
3,4,7545,Extrovertiertheit,13.68385,814
4,6,14855,Gewissenhaftigkeit,13.68385,814
5,3,6108,Sensibilität,13.68385,814
6,4,13461,Dominanz,13.68385,814
7,6,5271,Selbstsicherheit,13.68385,814
8,5,7118,Geduld,13.68385,814
9,4,10823,Agressivität,13.68385,814
10,7,20669,Vertrauenswürdigkeit,13.68385,814
1,7,18051,Höflichlichkeit,11.85465,818
2,5,12148,Selbstsicherheit,11.85465,818
3,1,5692,Agressivität,11.85465,818
4,4,4941,Extrovertiertheit,11.85465,818
5,1,6709,Dominanz,11.85465,818
6,3,3365,Freundlichkeit,11.85465,818
7,4,13003,Geduld,11.85465,818
8,3,2888,Sensibilität,11.85465,818
9,8,3452,Vertrauenswürdigkeit,11.85465,818
10,9,3915,Gewissenhaftigkeit,11.85465,818
1,3,6425,Extrovertiertheit,7.017716666666667,826
2,8,5322,Gewissenhaftigkeit,7.017716666666667,826
3,1,2989,Dominanz,7.017716666666667,826
4,3,3049,Geduld,7.017716666666667,826
5,7,4485,Vertrauenswürdigkeit,7.017716666666667,826
6,9,2180,Höflichlichkeit,7.017716666666667,826
7,5,3277,Sensibilität,7.017716666666667,826
8,9,5750,Freundlichkeit,7.017716666666667,826
9,9,2663,Selbstsicherheit,7.017716666666667,826
10,1,2264,Agressivität,7.017716666666667,826
1,7,65433,Höflichlichkeit,12.870083333333334,827
2,2,6605,Geduld,12.870083333333334,827
3,1,1979,Dominanz,12.870083333333334,827
4,1,2531,Agressivität,12.870083333333334,827
5,3,12971,Extrovertiertheit,12.870083333333334,827
6,2,2832,Vertrauenswürdigkeit,12.870083333333334,827
7,1,2556,Selbstsicherheit,12.870083333333334,827
8,4,3998,Freundlichkeit,12.870083333333334,827
9,7,3039,Sensibilität,12.870083333333334,827
10,7,4086,Gewissenhaftigkeit,12.870083333333334,827
1,1,29712,Gewissenhaftigkeit,95.42386666666667,844
2,1,5114,Vertrauenswürdigkeit,95.42386666666667,844
3,1,2506,Freundlichkeit,95.42386666666667,844
4,9,7515,Höflichlichkeit,95.42386666666667,844
5,1,1954,Dominanz,95.42386666666667,844
6,1,1920,Extrovertiertheit,95.42386666666667,844
7,1,1867,Sensibilität,95.42386666666667,844
8,1,1303,Agressivität,95.42386666666667,844
9,1,1284,Geduld,95.42386666666667,844
10,1,1402,Selbstsicherheit,95.42386666666667,844
1,6,7156,Selbstsicherheit,7.073383333333333,846
2,3,5899,Freundlichkeit,7.073383333333333,846
3,7,4024,Gewissenhaftigkeit,7.073383333333333,846
4,3,2631,Vertrauenswürdigkeit,7.073383333333333,846
5,3,2702,Sensibilität,7.073383333333333,846
6,8,2824,Geduld,7.073383333333333,846
7,7,3416,Höflichlichkeit,7.073383333333333,846
8,1,2726,Agressivität,7.073383333333333,846
9,2,3198,Extrovertiertheit,7.073383333333333,846
10,2,5743,Dominanz,7.073383333333333,846
1,5,39300,Agressivität,15.801483333333334,851
2,4,8837,Dominanz,15.801483333333334,851
3,3,25910,Geduld,15.801483333333334,851
4,7,9414,Extrovertiertheit,15.801483333333334,851
5,5,5922,Gewissenhaftigkeit,15.801483333333334,851
6,7,4055,Selbstsicherheit,15.801483333333334,851
7,6,6016,Freundlichkeit,15.801483333333334,851
8,2,4500,Sensibilität,15.801483333333334,851
9,4,5655,Vertrauenswürdigkeit,15.801483333333334,851
10,6,3370,Höflichlichkeit,15.801483333333334,851
1,7,41134,Gewissenhaftigkeit,17.315166666666666,856
2,1,9575,Sensibilität,17.315166666666666,856
3,1,6246,Geduld,17.315166666666666,856
4,3,4272,Höflichlichkeit,17.315166666666666,856
5,4,9397,Vertrauenswürdigkeit,17.315166666666666,856
6,9,5832,Extrovertiertheit,17.315166666666666,856
7,7,9934,Agressivität,17.315166666666666,856
8,1,10561,Selbstsicherheit,17.315166666666666,856
9,9,9299,Dominanz,17.315166666666666,856
10,5,44446,Freundlichkeit,17.315166666666666,856
1,7,24759,Höflichlichkeit,12.690833333333334,868
2,9,12680,Gewissenhaftigkeit,12.690833333333334,868
3,5,9937,Sensibilität,12.690833333333334,868
4,5,6605,Geduld,12.690833333333334,868
5,5,15161,Freundlichkeit,12.690833333333334,868
6,5,3519,Vertrauenswürdigkeit,12.690833333333334,868
7,1,28806,Agressivität,12.690833333333334,868
8,1,6451,Dominanz,12.690833333333334,868
9,5,3823,Extrovertiertheit,12.690833333333334,868
10,1,3211,Selbstsicherheit,12.690833333333334,868
1,1,6878,Geduld,9.359016666666667,869
2,9,11519,Sensibilität,9.359016666666667,869
3,9,3326,Höflichlichkeit,9.359016666666667,869
4,9,2865,Extrovertiertheit,9.359016666666667,869
5,1,3825,Dominanz,9.359016666666667,869
6,1,3608,Selbstsicherheit,9.359016666666667,869
7,1,8032,Vertrauenswürdigkeit,9.359016666666667,869
8,1,6328,Agressivität,9.359016666666667,869
9,5,5838,Gewissenhaftigkeit,9.359016666666667,869
10,9,3156,Freundlichkeit,9.359016666666667,869
1,5,8349,Höflichlichkeit,8.807233333333333,870
2,3,9514,Agressivität,8.807233333333333,870
3,1,5591,Sensibilität,8.807233333333333,870
4,4,3869,Vertrauenswürdigkeit,8.807233333333333,870
5,5,6504,Extrovertiertheit,8.807233333333333,870
6,5,2592,Selbstsicherheit,8.807233333333333,870
7,9,4661,Gewissenhaftigkeit,8.807233333333333,870
8,1,2347,Freundlichkeit,8.807233333333333,870
9,1,3415,Dominanz,8.807233333333333,870
10,7,5010,Geduld,8.807233333333333,870
1,1,3338,Sensibilität,13.58325,872
2,1,7909,Selbstsicherheit,13.58325,872
3,7,14252,Freundlichkeit,13.58325,872
4,1,11255,Agressivität,13.58325,872
5,9,4016,Höflichlichkeit,13.58325,872
6,8,2296,Extrovertiertheit,13.58325,872
7,1,1612,Geduld,13.58325,872
8,1,1982,Dominanz,13.58325,872
9,8,4391,Gewissenhaftigkeit,13.58325,872
10,3,3608,Vertrauenswürdigkeit,13.58325,872
1,8,4169,Höflichlichkeit,11.560083333333333,883
2,7,6246,Freundlichkeit,11.560083333333333,883
3,5,3351,Dominanz,11.560083333333333,883
4,7,6382,Geduld,11.560083333333333,883
5,4,7873,Selbstsicherheit,11.560083333333333,883
6,5,5534,Vertrauenswürdigkeit,11.560083333333333,883
7,8,2160,Gewissenhaftigkeit,11.560083333333333,883
8,1,4991,Agressivität,11.560083333333333,883
9,1,6528,Sensibilität,11.560083333333333,883
10,7,5092,Extrovertiertheit,11.560083333333333,883
1,4,18097,Geduld,14.621933333333333,885
2,7,7799,Selbstsicherheit,14.621933333333333,885
3,7,14325,Vertrauenswürdigkeit,14.621933333333333,885
4,3,16216,Extrovertiertheit,14.621933333333333,885
5,9,5506,Gewissenhaftigkeit,14.621933333333333,885
6,9,2765,Höflichlichkeit,14.621933333333333,885
7,2,2987,Sensibilität,14.621933333333333,885
8,3,2557,Freundlichkeit,14.621933333333333,885
9,3,2496,Dominanz,14.621933333333333,885
10,2,5697,Agressivität,14.621933333333333,885
1,1,6383,Agressivität,10.174016666666667,887
2,7,9974,Geduld,10.174016666666667,887
3,9,4163,Höflichlichkeit,10.174016666666667,887
4,6,4435,Extrovertiertheit,10.174016666666667,887
5,5,4132,Selbstsicherheit,10.174016666666667,887
6,5,5853,Freundlichkeit,10.174016666666667,887
7,9,3971,Gewissenhaftigkeit,10.174016666666667,887
8,9,3519,Vertrauenswürdigkeit,10.174016666666667,887
9,1,6993,Dominanz,10.174016666666667,887
10,4,4707,Sensibilität,10.174016666666667,887
1,1,4465,Dominanz,9.677933333333334,916
2,7,3683,Geduld,9.677933333333334,916
3,3,3082,Sensibilität,9.677933333333334,916
4,5,3336,Selbstsicherheit,9.677933333333334,916
5,4,3221,Freundlichkeit,9.677933333333334,916
6,8,3082,Vertrauenswürdigkeit,9.677933333333334,916
7,7,2935,Extrovertiertheit,9.677933333333334,916
8,9,3277,Gewissenhaftigkeit,9.677933333333334,916
9,8,2932,Höflichlichkeit,9.677933333333334,916
10,1,2688,Agressivität,9.677933333333334,916
1,2,5200,Sensibilität,6.17,855
2,1,3000,Dominanz,6.17,855
3,1,2300,Agressivität,6.17,855
4,1,2900,Freundlichkeit,6.17,855
5,4,4000,Gewissenhaftigkeit,6.17,855
6,1,2000,Extrovertiertheit,6.17,855
7,2,1700,Geduld,6.17,855
8,9,3300,Vertrauenswürdigkeit,6.17,855
9,9,1600,Höflichlichkeit,6.17,855
10,4,2700,Selbstsicherheit,6.17,855
